"代码","名称","市场","行业分类","分类来源"
"002137","实益达","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002137&sdate=1990-01-01&edate=2026-07-24）"
"002138","顺络电子","深交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002138&sdate=1990-01-01&edate=2026-07-24）"
"002141","贤丰控股","深交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002141&sdate=1990-01-01&edate=2026-07-24）"
"002194","武汉凡谷","深交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002194&sdate=1990-01-01&edate=2026-07-24）"
"002199","东晶电子","深交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002199&sdate=1990-01-01&edate=2026-07-24）"
"002217","ST合力泰","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002217&sdate=1990-01-01&edate=2026-07-24）"
"002222","福晶科技","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002222&sdate=1990-01-01&edate=2026-07-24）"
"002273","水晶光电","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002273&sdate=1990-01-01&edate=2026-07-24）"
"002281","光迅科技","深交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002281&sdate=1990-01-01&edate=2026-07-24）"
"002289","宇顺电子","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002289&sdate=1990-01-01&edate=2026-07-24）"
