"代码","名称","市场","行业分类","分类来源"
"300548","长芯博创","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300548&sdate=1990-01-01&edate=2026-07-24）"
"300555","ST路通","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300555&sdate=1990-01-01&edate=2026-07-24）"
"300563","神宇股份","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300563&sdate=1990-01-01&edate=2026-07-24）"
"300565","科信技术","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300565&sdate=1990-01-01&edate=2026-07-24）"
"300566","激智科技","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300566&sdate=1990-01-01&edate=2026-07-24）"
"300570","太辰光","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300570&sdate=1990-01-01&edate=2026-07-24）"
"300582","英飞特","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300582&sdate=1990-01-01&edate=2026-07-24）"
"300590","移为通信","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300590&sdate=1990-01-01&edate=2026-07-24）"
"300615","欣天科技","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300615&sdate=1990-01-01&edate=2026-07-24）"
"300620","光库科技","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300620&sdate=1990-01-01&edate=2026-07-24）"
"300627","华测导航","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300627&sdate=1990-01-01&edate=2026-07-24）"
"300628","亿联网络","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300628&sdate=1990-01-01&edate=2026-07-24）"
"300632","光莆股份","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300632&sdate=1990-01-01&edate=2026-07-24）"
"300638","广和通","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300638&sdate=1990-01-01&edate=2026-07-24）"
"300657","弘信电子","深交所创业板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300657&sdate=1990-01-01&edate=2026-07-24）"
"300689","澄天伟业","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300689&sdate=1990-01-01&edate=2026-07-24）"
"300698","万马科技","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300698&sdate=1990-01-01&edate=2026-07-24）"
"300701","森霸传感","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300701&sdate=1990-01-01&edate=2026-07-24）"
"300708","聚灿光电","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300708&sdate=1990-01-01&edate=2026-07-24）"
"300710","万隆光电","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300710&sdate=1990-01-01&edate=2026-07-24）"
"300711","广哈通信","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300711&sdate=1990-01-01&edate=2026-07-24）"
"300739","明阳电路","深交所创业板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300739&sdate=1990-01-01&edate=2026-07-24）"
"300752","隆利科技","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300752&sdate=1990-01-01&edate=2026-07-24）"
"300808","久量股份","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300808&sdate=1990-01-01&edate=2026-07-24）"
"300814","中富电路","深交所创业板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300814&sdate=1990-01-01&edate=2026-07-24）"
"300852","四会富仕","深交所创业板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300852&sdate=1990-01-01&edate=2026-07-24）"
"300889","爱克股份","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300889&sdate=1990-01-01&edate=2026-07-24）"
"300903","科翔股份","深交所创业板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300903&sdate=1990-01-01&edate=2026-07-24）"
"300909","汇创达","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300909&sdate=1990-01-01&edate=2026-07-24）"
"300913","兆龙互连","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300913&sdate=1990-01-01&edate=2026-07-24）"
"300936","中英科技","深交所创业板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300936&sdate=1990-01-01&edate=2026-07-24）"
"300939","秋田微","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300939&sdate=1990-01-01&edate=2026-07-24）"
"300940","南极光","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300940&sdate=1990-01-01&edate=2026-07-24）"
"300964","本川智能","深交所创业板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300964&sdate=1990-01-01&edate=2026-07-24）"
"300975","商络电子","深交所创业板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300975&sdate=1990-01-01&edate=2026-07-24）"
"301041","金百泽","深交所创业板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301041&sdate=1990-01-01&edate=2026-07-24）"
"301045","天禄科技","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301045&sdate=1990-01-01&edate=2026-07-24）"
"301106","骏成科技","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301106&sdate=1990-01-01&edate=2026-07-24）"
"301132","满坤科技","深交所创业板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301132&sdate=1990-01-01&edate=2026-07-24）"
"301165","锐捷网络","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301165&sdate=1990-01-01&edate=2026-07-24）"
"301176","逸豪新材","深交所创业板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301176&sdate=1990-01-01&edate=2026-07-24）"
"301183","东田微","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301183&sdate=1990-01-01&edate=2026-07-24）"
"301191","菲菱科思","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301191&sdate=1990-01-01&edate=2026-07-24）"
"301202","朗威股份","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301202&sdate=1990-01-01&edate=2026-07-24）"
"301205","联特科技","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301205&sdate=1990-01-01&edate=2026-07-24）"
"301251","威尔高","深交所创业板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301251&sdate=1990-01-01&edate=2026-07-24）"
"301282","金禄电子","深交所创业板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301282&sdate=1990-01-01&edate=2026-07-24）"
"301314","科瑞思","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301314&sdate=1990-01-01&edate=2026-07-24）"
"301321","翰博高新","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301321&sdate=1990-01-01&edate=2026-07-24）"
"301366","一博科技","深交所创业板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301366&sdate=1990-01-01&edate=2026-07-24）"
"301379","天山电子","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301379&sdate=1990-01-01&edate=2026-07-24）"
"301419","阿莱德","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301419&sdate=1990-01-01&edate=2026-07-24）"
"301421","波长光电","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301421&sdate=1990-01-01&edate=2026-07-24）"
"301458","钧崴电子","深交所创业板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301458&sdate=1990-01-01&edate=2026-07-24）"
"301479","弘景光电","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301479&sdate=1990-01-01&edate=2026-07-24）"
"301566","达利凯普","深交所创业板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301566&sdate=1990-01-01&edate=2026-07-24）"
"301577","美信科技","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301577&sdate=1990-01-01&edate=2026-07-24）"
"301628","强达电路","深交所创业板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301628&sdate=1990-01-01&edate=2026-07-24）"
"600071","凤凰光学","上交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=600071&sdate=1990-01-01&edate=2026-07-24）"
"600105","永鼎股份","上交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=600105&sdate=1990-01-01&edate=2026-07-24）"
"600183","生益科技","上交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=600183&sdate=1990-01-01&edate=2026-07-24）"
"600198","大唐电信","上交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=600198&sdate=1990-01-01&edate=2026-07-24）"
"600237","铜峰电子","上交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=600237&sdate=1990-01-01&edate=2026-07-24）"
"600345","长江通信","上交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=600345&sdate=1990-01-01&edate=2026-07-24）"
"600487","亨通光电","上交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=600487&sdate=1990-01-01&edate=2026-07-24）"
"600498","烽火通信","上交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=600498&sdate=1990-01-01&edate=2026-07-24）"
"600522","中天科技","上交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=600522&sdate=1990-01-01&edate=2026-07-24）"
"600552","凯盛科技","上交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=600552&sdate=1990-01-01&edate=2026-07-24）"
"600563","法拉电子","上交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=600563&sdate=1990-01-01&edate=2026-07-24）"
"600601","方正科技","上交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=600601&sdate=1990-01-01&edate=2026-07-24）"
"600703","三安光电","上交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=600703&sdate=1990-01-01&edate=2026-07-24）"
"600707","彩虹股份","上交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=600707&sdate=1990-01-01&edate=2026-07-24）"
"600734","*ST实达","上交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=600734&sdate=1990-01-01&edate=2026-07-24）"
"600775","南京熊猫","上交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=600775&sdate=1990-01-01&edate=2026-07-24）"
"600776","东方通信","上交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=600776&sdate=1990-01-01&edate=2026-07-24）"
"601869","长飞光纤","上交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=601869&sdate=1990-01-01&edate=2026-07-24）"
"603042","华脉科技","上交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603042&sdate=1990-01-01&edate=2026-07-24）"
"603083","剑桥科技","上交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603083&sdate=1990-01-01&edate=2026-07-24）"
"603118","共进股份","上交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603118&sdate=1990-01-01&edate=2026-07-24）"
"603175","超颖电子","上交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603175&sdate=1990-01-01&edate=2026-07-24）"
"603186","华正新材","上交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603186&sdate=1990-01-01&edate=2026-07-24）"
"603228","景旺电子","上交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603228&sdate=1990-01-01&edate=2026-07-24）"
"603236","移远通信","上交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603236&sdate=1990-01-01&edate=2026-07-24）"
"603297","永新光学","上交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603297&sdate=1990-01-01&edate=2026-07-24）"
"603328","依顿电子","上交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603328&sdate=1990-01-01&edate=2026-07-24）"
"603386","骏亚科技","上交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603386&sdate=1990-01-01&edate=2026-07-24）"
"603421","鼎信通讯","上交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603421&sdate=1990-01-01&edate=2026-07-24）"
"603459","红板科技","上交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603459&sdate=1990-01-01&edate=2026-07-24）"
"603679","华体科技","上交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603679&sdate=1990-01-01&edate=2026-07-24）"
"603685","晨丰科技","上交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603685&sdate=1990-01-01&edate=2026-07-24）"
"603703","盛洋科技","上交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603703&sdate=1990-01-01&edate=2026-07-24）"
"603738","泰晶科技","上交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603738&sdate=1990-01-01&edate=2026-07-24）"
"603773","沃格光电","上交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603773&sdate=1990-01-01&edate=2026-07-24）"
"603803","瑞斯康达","上交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603803&sdate=1990-01-01&edate=2026-07-24）"
"603920","世运电路","上交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603920&sdate=1990-01-01&edate=2026-07-24）"
"603936","博敏电子","上交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603936&sdate=1990-01-01&edate=2026-07-24）"
"603989","艾华集团","上交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603989&sdate=1990-01-01&edate=2026-07-24）"
"605058","澳弘电子","上交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=605058&sdate=1990-01-01&edate=2026-07-24）"
"605218","伟时电子","上交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=605218&sdate=1990-01-01&edate=2026-07-24）"
"605258","协和电子","上交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=605258&sdate=1990-01-01&edate=2026-07-24）"
"605588","冠石科技","上交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=605588&sdate=1990-01-01&edate=2026-07-24）"
"688010","福光股份","上交所科创板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688010&sdate=1990-01-01&edate=2026-07-24）"
"688020","方邦股份","上交所科创板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688020&sdate=1990-01-01&edate=2026-07-24）"
"688027","国盾量子","上交所科创板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688027&sdate=1990-01-01&edate=2026-07-24）"
