月份,贸易伙伴,贸易方式,出口量kg,金额USD
202605,墨西哥,一般贸易,11419,38007029
202605,墨西哥,进料加工贸易,3481,12150106
202605,墨西哥,海关特殊监管区域物流货物,25,26951
202605,墨西哥,保税监管场所进出境货物,2,10866
202605,墨西哥,其他,1,2998
202605,中国香港,一般贸易,10371,22816416
202605,中国香港,进料加工贸易,8874,16073504
202605,中国香港,海关特殊监管区域物流货物,2067,1537207
202605,中国香港,保税监管场所进出境货物,10,150423
202605,印度尼西亚,一般贸易,2084,4782165
202605,印度尼西亚,海关特殊监管区域物流货物,2468,3449829
202605,印度尼西亚,进料加工贸易,1,2091
202605,印度尼西亚,其他,2,77
202605,荷兰,一般贸易,8762,6582711
202605,荷兰,进料加工贸易,754,1247333
202605,荷兰,海关特殊监管区域物流货物,171,110674
202605,其他,一般贸易,85485,60760372
202605,其他,进料加工贸易,6924,9274070
202605,其他,海关特殊监管区域物流货物,12829,6393734
202605,其他,保税监管场所进出境货物,786,147923
202605,其他,其他,69,17405
202605,其他,对外承包工程出口货物,18,987
202606,马来西亚,进料加工贸易,78425,222295216
202606,马来西亚,一般贸易,23992,25589655
202606,马来西亚,海关特殊监管区域物流货物,8046,12472532
202606,马来西亚,对外承包工程出口货物,107,64784
202606,马来西亚,其他,4,8270
202606,马来西亚,保税监管场所进出境货物,3,885
202606,中国台湾,进料加工贸易,54416,96562374
202606,中国台湾,一般贸易,7328,11488253
202606,中国台湾,海关特殊监管区域物流货物,176,44805
202606,中国台湾,其他,1,16072
202606,中国台湾,保税监管场所进出境货物,0,624
202606,泰国,一般贸易,24698,71035822
202606,泰国,海关特殊监管区域物流货物,4343,7661148
202606,泰国,进料加工贸易,791,780254
202606,泰国,其他,32,83500
202606,美国,一般贸易,27309,34762070
202606,美国,进料加工贸易,8535,26640757
202606,美国,海关特殊监管区域物流货物,59,95533
202606,美国,保税监管场所进出境货物,303,62371
202606,美国,其他,17,41582
202606,墨西哥,一般贸易,13568,41512993
202606,墨西哥,进料加工贸易,4176,15186929
202606,墨西哥,海关特殊监管区域物流货物,364,319988
202606,墨西哥,保税监管场所进出境货物,60,229237
202606,中国香港,一般贸易,20210,36332766
202606,中国香港,进料加工贸易,5145,11351919
202606,中国香港,海关特殊监管区域物流货物,1922,2267951
202606,中国香港,保税监管场所进出境货物,2,1800
202606,德国,一般贸易,7768,5978217
202606,德国,海关特殊监管区域物流货物,1845,2508805
202606,德国,进料加工贸易,90,724931
202606,德国,保税监管场所进出境货物,11,1525
202606,荷兰,一般贸易,10787,7073215
202606,荷兰,进料加工贸易,184,541541
202606,荷兰,海关特殊监管区域物流货物,10,49516
202606,其他,一般贸易,85414,62081642
202606,其他,海关特殊监管区域物流货物,15510,7849586
202606,其他,进料加工贸易,4414,4604254
202606,其他,对外承包工程出口货物,827,2343537
202606,其他,保税监管场所进出境货物,1260,517285
202606,其他,其他,429,43456
202606,其他,国家间、国际组织无偿援助和赠送的物资,3,971
202606,其他,边境小额贸易,2,161
