announcement_id,stock_code,company_name,title,fiscal_year,announcement_date,market_column,pdf_url,adjunct_url,download_status,local_path,sha256,size_bytes,error
1225031855,688337,<em>普源精电</em>,普源精电科技股份有限公司2025年年度报告,2025,2026-03-26,bj,https://static.cninfo.com.cn/finalpage/2026-03-26/1225031855.PDF,finalpage/2026-03-26/1225031855.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/demo/data/688337/688337__em_普源精电_em__2025_普源精电科技股份有限公司2025年年度报告.pdf,164ca07a2e1a2c3367a64b5eb89ce9bb80f9bff61ae58d75621f0cbb5598ca1a,2566217,
1222972886,688337,<em>普源精电</em>,普源精电科技股份有限公司2024年年度报告,2024,2025-04-01,bj,https://static.cninfo.com.cn/finalpage/2025-04-01/1222972886.PDF,finalpage/2025-04-01/1222972886.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/demo/data/688337/688337__em_普源精电_em__2024_普源精电科技股份有限公司2024年年度报告.pdf,8d3294c5c575e4159661a730f4b0006d7151261cb87dc6440c2ff3c7382819bc,5291781,
1219360668,688337,<em>普源精电</em>,普源精电科技股份有限公司2023年年度报告,2023,2024-03-21,bj,https://static.cninfo.com.cn/finalpage/2024-03-21/1219360668.PDF,finalpage/2024-03-21/1219360668.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/demo/data/688337/688337__em_普源精电_em__2023_普源精电科技股份有限公司2023年年度报告.pdf,14001241e6431a57f4f56ef034335152b2f004df03b7b1e56863c7add35ebe73,4843686,
