announcement_id,stock_code,company_name,title,fiscal_year,announcement_date,market_column,pdf_url,adjunct_url,download_status,local_path,sha256,size_bytes,error
1225028582,688498,<em>源杰科技</em>,陕西源杰半导体科技股份有限公司2025年年度报告,2025,2026-03-25,bj,https://static.cninfo.com.cn/finalpage/2026-03-25/1225028582.PDF,finalpage/2026-03-25/1225028582.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/flows/input/v16/688498/688498/688498__em_源杰科技_em__2025_陕西源杰半导体科技股份有限公司2025年年度报告.pdf,a513c4e60068e006161e139ed9b5501c809f9015f6b171cedb18cc1580f12630,1547226,
1223315235,688498,<em>源杰科技</em>,陕西源杰半导体科技股份有限公司2024年年度报告,2024,2025-04-26,bj,https://static.cninfo.com.cn/finalpage/2025-04-26/1223315235.PDF,finalpage/2025-04-26/1223315235.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/flows/input/v16/688498/688498/688498__em_源杰科技_em__2024_陕西源杰半导体科技股份有限公司2024年年度报告.pdf,7083ee4e84601ace4d457876762cf80829b4be2a9c691d4e8702a5601f526936,1495349,
1219816634,688498,<em>源杰科技</em>,陕西源杰半导体科技股份有限公司2023年年度报告,2023,2024-04-26,bj,https://static.cninfo.com.cn/finalpage/2024-04-26/1219816634.PDF,finalpage/2024-04-26/1219816634.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/flows/input/v16/688498/688498/688498__em_源杰科技_em__2023_陕西源杰半导体科技股份有限公司2023年年度报告.pdf,ebdc01afad8c3a9a85435b3d9413185e2042a27c9575aac77345f2533ca6c55c,4453109,
