announcement_id,stock_code,company_name,title,fiscal_year,announcement_date,market_column,pdf_url,adjunct_url,download_status,local_path,sha256,size_bytes,error
1225059372,300757,<em>罗博特科</em>,2025年年度报告,2025,2026-03-31,bj,https://static.cninfo.com.cn/finalpage/2026-03-31/1225059372.PDF,finalpage/2026-03-31/1225059372.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/demo/data/300757/300757__em_罗博特科_em__2025_2025年年度报告.pdf,4cc8a148a14fe3096054f72bf26d82f960b05f128785a9b960ab35f835afd9e9,1705541,
1223238582,300757,<em>罗博特科</em>,2024年年度报告,2024,2025-04-24,bj,https://static.cninfo.com.cn/finalpage/2025-04-24/1223238582.PDF,finalpage/2025-04-24/1223238582.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/demo/data/300757/300757__em_罗博特科_em__2024_2024年年度报告.pdf,afebd6773777a5620320f480ad040e5ec8d90a33ab016effc2fcc7bdae4d7fd4,3613267,
1219740165,300757,<em>罗博特科</em>,2023年年度报告,2023,2024-04-23,bj,https://static.cninfo.com.cn/finalpage/2024-04-23/1219740165.PDF,finalpage/2024-04-23/1219740165.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/demo/data/300757/300757__em_罗博特科_em__2023_2023年年度报告.pdf,0a769afb6c69b98b0a79d0859da021dd4f6d418fbd93cf6ec636d6f834bf52d0,3396487,
