announcement_id,stock_code,company_name,title,fiscal_year,announcement_date,market_column,pdf_url,adjunct_url,download_status,local_path,sha256,size_bytes,error
1225061015,300570,<em>太辰光</em>,2025年年度报告,2025,2026-03-31,bj,https://static.cninfo.com.cn/finalpage/2026-03-31/1225061015.PDF,finalpage/2026-03-31/1225061015.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/flows/input/v16/300570/300570/300570__em_太辰光_em__2025_2025年年度报告.pdf,380dfdf72e08fdfe531a63f856d2f928aba0f3bcef24e432e9894fd2d3438def,11452761,
1222945632,300570,<em>太辰光</em>,2024年年度报告,2024,2025-03-29,bj,https://static.cninfo.com.cn/finalpage/2025-03-29/1222945632.PDF,finalpage/2025-03-29/1222945632.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/flows/input/v16/300570/300570/300570__em_太辰光_em__2024_2024年年度报告.pdf,63d7e19bcb3a04f52cdb3fd226578ff59fe2817f6331f7c6c70e001354c486bd,5069366,
1219443941,300570,<em>太辰光</em>,2023年年度报告,2023,2024-03-29,bj,https://static.cninfo.com.cn/finalpage/2024-03-29/1219443941.PDF,finalpage/2024-03-29/1219443941.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/flows/input/v16/300570/300570/300570__em_太辰光_em__2023_2023年年度报告.pdf,8bd0a8c05ea5b58da0ef4500290adf8b2d3ffc049ff52e036625ff6af3635dbe,4835347,
