announcement_id,stock_code,company_name,title,fiscal_year,announcement_date,market_column,pdf_url,adjunct_url,download_status,local_path,sha256,size_bytes,error
1225148212,002281,<em>光迅科技</em>,2025年年度报告,2025,2026-04-23,bj,https://static.cninfo.com.cn/finalpage/2026-04-23/1225148212.PDF,finalpage/2026-04-23/1225148212.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/demo/data/002281/002281__em_光迅科技_em__2025_2025年年度报告.pdf,8363cd690d29f4d6f913339f9dc7a70b7bc14f260f0140175c5cb45593053869,1515825,
1223234851,002281,<em>光迅科技</em>,2024年年度报告,2024,2025-04-24,bj,https://static.cninfo.com.cn/finalpage/2025-04-24/1223234851.PDF,finalpage/2025-04-24/1223234851.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/demo/data/002281/002281__em_光迅科技_em__2024_2024年年度报告.pdf,a4f57ef8f3787cde4b73bf6547a4bf1011859cba22225b5a2eb5bf3580ac4281,3905599,
1219826062,002281,<em>光迅科技</em>,2023年年度报告,2023,2024-04-26,bj,https://static.cninfo.com.cn/finalpage/2024-04-26/1219826062.PDF,finalpage/2024-04-26/1219826062.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/demo/data/002281/002281__em_光迅科技_em__2023_2023年年度报告.pdf,da9c5b92a92e6d776d575a4d9b4c3812f300b562950fc91ee0ad3d371087bc61,1183125,
