announcement_id,stock_code,company_name,title,fiscal_year,announcement_date,market_column,pdf_url,adjunct_url,download_status,local_path,sha256,size_bytes,error
1225096862,688097,<em>博众精工</em>,2025年年度报告,2025,2026-04-11,bj,https://static.cninfo.com.cn/finalpage/2026-04-11/1225096862.PDF,finalpage/2026-04-11/1225096862.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/demo/data/688097/688097__em_博众精工_em__2025_2025年年度报告.pdf,fb4bb7e30f81c4e850505b2b5abd4172e01da59b05978a23fd7303de13043fd9,4933424,
1223328775,688097,<em>博众精工</em>,2024年年度报告,2024,2025-04-26,bj,https://static.cninfo.com.cn/finalpage/2025-04-26/1223328775.PDF,finalpage/2025-04-26/1223328775.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/demo/data/688097/688097__em_博众精工_em__2024_2024年年度报告.pdf,9a272268b98dedcd462b02c68d9449fecd9ade01086c2927dc8315915e71d2e1,5372726,
1219769915,688097,<em>博众精工</em>,博众精工2023年年度报告,2023,2024-04-24,bj,https://static.cninfo.com.cn/finalpage/2024-04-24/1219769915.PDF,finalpage/2024-04-24/1219769915.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/demo/data/688097/688097__em_博众精工_em__2023_博众精工2023年年度报告.pdf,625050861949a8fd0c9b98907209c22be4027e24f68706b20f5e0bfac3f642ee,5923896,
