announcement_id,stock_code,company_name,title,fiscal_year,announcement_date,market_column,pdf_url,adjunct_url,download_status,local_path,sha256,size_bytes,error
1225122538,688313,<em>仕佳光子</em>,2025年年度报告,2025,2026-04-18,bj,https://static.cninfo.com.cn/finalpage/2026-04-18/1225122538.PDF,finalpage/2026-04-18/1225122538.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/flows/input/v16/688313/688313/688313__em_仕佳光子_em__2025_2025年年度报告.pdf,52e82a0b7d24daedb94670417934d27d545e1e864b77a3f405cdb631de8053dc,1895225,
1223157242,688313,<em>仕佳光子</em>,2024年年度报告,2024,2025-04-19,bj,https://static.cninfo.com.cn/finalpage/2025-04-19/1223157242.PDF,finalpage/2025-04-19/1223157242.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/flows/input/v16/688313/688313/688313__em_仕佳光子_em__2024_2024年年度报告.pdf,371f0185342f18c0661c7431b5e96e540f1e65533943e6e9eed1c7bfc2e049c6,4836089,
1219597640,688313,<em>仕佳光子</em>,2023年年度报告,2023,2024-04-13,bj,https://static.cninfo.com.cn/finalpage/2024-04-13/1219597640.PDF,finalpage/2024-04-13/1219597640.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/flows/input/v16/688313/688313/688313__em_仕佳光子_em__2023_2023年年度报告.pdf,e3740577347c8891a5d12615f69f17796faa40edb34c14a083ae4fca53f792b9,4698680,
