announcement_id,stock_code,company_name,title,fiscal_year,announcement_date,market_column,pdf_url,adjunct_url,download_status,local_path,sha256,size_bytes,error
1225056459,300308,<em>中际旭创</em>,2025年年度报告,2025,2026-03-31,bj,https://static.cninfo.com.cn/finalpage/2026-03-31/1225056459.PDF,finalpage/2026-03-31/1225056459.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/demo/data/300308/300308__em_中际旭创_em__2025_2025年年度报告.pdf,0290f380253dde79613d43a1c6203674ae36cb89f849f063668ccde9a8789b5e,6150814,
1223155483,300308,<em>中际旭创</em>,2024年年度报告,2024,2025-04-21,bj,https://static.cninfo.com.cn/finalpage/2025-04-21/1223155483.PDF,finalpage/2025-04-21/1223155483.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/demo/data/300308/300308__em_中际旭创_em__2024_2024年年度报告.pdf,1c13639ab218395ef3c81bfbcddb64ba48262d2afcc8ac9ed1588a9dbd4a513f,6966927,
1219703026,300308,<em>中际旭创</em>,2023年年度报告,2023,2024-04-22,bj,https://static.cninfo.com.cn/finalpage/2024-04-22/1219703026.PDF,finalpage/2024-04-22/1219703026.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/demo/data/300308/300308__em_中际旭创_em__2023_2023年年度报告.pdf,2276f88c03aca66b37e4d7a03c88df1dfa7eb6bdf1487bf7d3a76d21b84948a9,6702448,
