announcement_id,stock_code,company_name,title,fiscal_year,announcement_date,market_column,pdf_url,adjunct_url,download_status,local_path,sha256,size_bytes,error
1225202249,301338,<em>凯格精机</em>,2025年年度报告,2025,2026-04-28,bj,https://static.cninfo.com.cn/finalpage/2026-04-28/1225202249.PDF,finalpage/2026-04-28/1225202249.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/demo/data/301338/301338__em_凯格精机_em__2025_2025年年度报告.pdf,b38a3c09d516f9b64c65d6fc0cf94008ee1d1478c540919a4df75c8c553e43d4,4278629,
1223300271,301338,<em>凯格精机</em>,2024年年度报告,2024,2025-04-26,bj,https://static.cninfo.com.cn/finalpage/2025-04-26/1223300271.PDF,finalpage/2025-04-26/1223300271.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/demo/data/301338/301338__em_凯格精机_em__2024_2024年年度报告.pdf,8f46d5df0b941b72b88ba7b70d2f09feb22cad98bd9d1d3497f2981e423ca383,4189285,
1219743716,301338,<em>凯格精机</em>,2023年年度报告,2023,2024-04-23,bj,https://static.cninfo.com.cn/finalpage/2024-04-23/1219743716.PDF,finalpage/2024-04-23/1219743716.PDF,downloaded,/Users/jowang/Downloads/workflow-rehearsal/demo/data/301338/301338__em_凯格精机_em__2023_2023年年度报告.pdf,7636608e8a34d3bae3232776c43b885b681e3db13b1461bdc0b28b261ff86003,5069769,
